"NUMERO_PRESTAMO","NOMBRE_OPERACION","IDENTIFICADOR_PROCESO","NOMBRE_ADQUISICION","CATEGORIA_PROCESO","NOMBRE_ORGANISMO_EJECUTOR","MONTO_PRESUPUESTADO_PROCESO_ADQUISICION","ESTADO_PROCESO"
"2181DEFENSAPP",Programa de inversión y modernización para el sector justicia República de Guatemala,GTM-ODSJ-2181DEFENSAPP-2145-O,"IDPP-03 Construcción Edificio de la Sede Municipal  del Instituto de la Defensa Pública Penal en el Municipio de San Marcos, San Marcos.",Obras,Instituto de la Defensa Pública Penal de Guatemala (IDPP),845889.16,Previsto
"2233",Programa de Mejora del Acceso y la Calidad Educativa (PROMACE),ARG-MDEDJ-2233-9047-CI,Un Supervisor Independientes de Obras de Infraestructura (por 19 meses),Consultorías Individuales,Programa de Mejora del Acceso y la Calidad Educativa (PROMACE),18573.30,Previsto
"2261","Ampliación del Sistema de Abastecimiento de Agua Potable en la Ciudad de Gracias, Departamento de Lempira",HND-S-2261-5852-CI,Asistente Administrativo 2025,Consultorías Individuales,"Secretaría de Estado en los Despachos de Desarrollo Comunitario, Agua y Saneamiento (SEDECOAS)",19000.00,Adjudicado
"2256",Programa Mi Nueva Escuela ,SLV-MDECYT(-2256-1119-B,Adquisición de mobiliario para 156 Centros Educativos intervenidos con el préstamo BCIE 2256. ,Bienes,"Ministerio de Educación, Ciencia y Tecnología (MINEDUCYT)",8926696.00,Adjudicado
"2237",Programa de Financiamiento a Plan de Control Territorial,SLV-MDOPYDT(-2237-9115-CI,"Servicios de Consultoría Individual para (1) ""Especialista de Adquisiciones y Contrataciones"". Sus principales funciones serán: a) Preparar el Plan General de Adquisiciones (PGA) del préstamo junto con el resto del equipo ejecutor, b) Coordinar con la GACI – MOPT en mantener actualizado el inventario de los procesos de las contrataciones, c) Elaborar la preparación de la información técnica necesaria para iniciar los procesos de adquisiciones y contrataciones que se relacionen con las actividades de la GACI, d) Formar parte de los comités de evaluación que se conformen en los procesos de contratación y selección que se realicen en el marco del contrato de préstamo, etc. Salario mensual es de: $3,390.00 con IVA incluido, por un período de 3 años.",Consultorías Individuales,Ministerio de Obras Públicas y de Transporte (MOPT),122040.00,Adjudicado
"2243",Construcción de Viaducto y Ampliación de Carretera CA01W (Tramo Los Chorros),SLV-M-2243-1182-CI,"Servicios de Consultoría Individual: ""Especialista Ambiental BCIE – 2243 y 2306"", Sus principales funciones serán: a) Dar seguimiento y monitoreo a la ejecución de las obras contenidas en las condiciones técnicas de carácter ambiental, b) Verificar el cumplimiento del plan de manejo ambiental por parte del contratista y el seguimiento de la misma por la supervisión, c) Realizar inspecciones técnicas a los planteles de producción, verificando el cumplimiento de las normativas ambientales al personal, equipos, materiales y laboratorios del supervisor y contratista de los proyectos, d) Realizar visitas de campo periódicas al área de influencia del proyecto, a fin de verificar el cumplimiento de las medidas ambientales establecidas en el PMA, etc. Salario mensual es de: $2,700.00, por un período de 3.5 años..",Consultorías Individuales,Ministerio de Obras Públicas y de Transporte (MOPT),113400.00,Adjudicado
"2317",Programa de Emergencia para la Reconstrucción Integral y Resiliente de Infraestructura (PROERI) de la República de Costa Rica,CRI-2025-2317-13906-O,"Contratación de estudios, diseño y construcción de obras de estabilización Lote 4-2",Obras,Consejo Nacional de Vialidad (CONAVI),2750048.82,Desierto
"2329",Programa de Apoyo a la Red Hospitalaria de la República de Honduras,HND-2025-2329-24678-S,Contratación de Póliza de Seguro para Vehículo Automotor de la UE-PARH ,Servicios,Programa de Apoyo a la Red Hospitalaria de la República de Honduras (PARH),3000.00,Previsto
"2206","Diseño, Construcción y Equipamiento de las instalaciones del Instituto Conmemorativo Gorgas",PAN-2025-2206-24720-CF,"Gerencia y Supervisión Técnica del Prooyecto Campus Gorgas, Fase 1",Consultorías Firmas,Instituto Conmemorativo Gorgas de Estudios para la Salud (ICGES),4677194.33,Adjudicado
"2240",Programa de Modernización y Desarrollo Institucional para la Protección Ciudadana,SLV-PNC(YMDLDN(-2240-4293-O,Modernización de las instalaciones del Hospital Militar Central,Obras,Dirección Nacional de Compras (DINAC),3032260.00,Previsto
"2240",Programa de Modernización y Desarrollo Institucional para la Protección Ciudadana,SLV-PNC(YMDLDN(-2240-4313-S,Servicio de reproducción de documentos para la Unidad Ejecutora del Programa,Servicios,Dirección Nacional de Compras (DINAC),35000.00,Adjudicado
"2230",Programa de Inversión en Infraestructura y Equipamiento Hospitalario,GTM-2025-2230-10466-O,"Diseño, Construcción, Equipamiento y Puesta en Marcha para el mejoramiento y/o ampliación del Hospital de Chiquimula:  Mejoramiento Hospital de Chiquimula, Chiquimula.",Obras,Ministerio de Salud Pública y Asistencia Social (MSPAS),34587577.93,Adjudicado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3478-O,"Rehabilitación Edificio - (Remodelación, construcción y reparación de obras de infraestructura en edificio de INVUR, según planos y alcances)",Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),0.00,Fracasado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3592-O,"Construcción de viviendas de extrema pobreza fase IV en el  municipio de Villa Sandino, (11 viviendas)",Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),88000.00,Adjudicado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3704-O,Construcción de viviendas de extrema pobreza fase VIII en el municipio de Rio Blanco (11 viviendas),Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),88000.00,Adjudicado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3816-O,"Construcción de Viviendas de Interes Social, para familias en la condicion de Extrema Pobreza ¨JOSE DOLORES GRANADOS¨, en el municipio de Ciudad Dario. (40 viviendas)",Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),320000.00,Adjudicado
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-8130-O,Construcción de viviendas de extrema pobreza Fase XIX en el municipio de Teustepe (12 Viviendas),Obras,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),102000.00,Previsto
"2245",Programa Nacional de Construcción de Viviendas de Interés Social,NIC-IDLVUYRDN(-2245-3921-CI,Contratación de Analistas de presupuesto - ((1) Analista de presupuesto de finanzas por vigencia del programa (4) años),Consultorías Individuales,Instituto Nicaragüense de Vivienda Urbana y Rural (INVUR),48000.00,Adjudicado
"2228",MEJORAMIENTO EN LOS AEROPUERTOS DE LA COSTA CARIBE SUR,NIC-2025-2228-17649-O,Mejoramiento en los Aeropuertos de la Costa Caribe Sur,Obras,Empresa Administradora de Aeropuertos Internacionales (EAAI ),34794736.33,Adjudicado
"2273",Programa de Ampliación del Sistema de Transmisión Eléctrica de Nicaragua,NIC-2025-2273-12487-B,Suministro e instalación de nuevo Sistema UPS y Banco de Baterías en el CNDC.,Bienes,Empresa Nacional de Transmisión Eléctrica (ENATREL),152732.00,Contratado
"2314",Fortalecimiento Tecnológico del Registro Nacional de las Personas y la Dirección Nacional de Migraciones,ARG-MDI-2314-8394-B,Actualización del data center,Bienes,Dirección General de Programas y Proyectos Sectoriales y Especiales (DiGePPSE),1719280.00,Previsto
"2187",Programa de Sostenibilidad del Sector Eléctrico de Nicaragua,NIC-ENDTE(-2187-7035-O,Rehabilitación de Redes.,Obras,Empresa Nacional de Transmisión Eléctrica (ENATREL),26990482.57,Adjudicado
"2282",Programa Bono de Alivio a Familias Vulnerables Afectadas por Fenómenos Naturales Producto del Cambio Climático,HND-2025-2282-18376-CF,Firma Auditora (3.1),Consultorías Firmas,Programa de la Red Solidaria (PRS),312915.00,Contratado
"2141",Programa para la sostenibilidad del sector de agua y saneamiento rural,NIC-2025-2141-14389-O,Proyecto 19167  Mejoramiento Sistema agua Potable Los Trejos.,Obras,Empresa Nicaragüense de Acueductos y Alcantarillados Sanitarios (ENACAL),222221.17,Adjudicado
"2141",Programa para la sostenibilidad del sector de agua y saneamiento rural,NIC-2025-2141-14663-B,"Adquisición de equipos de monitoreo de cantidad de agua (Sondas, Molinetes, Divers, otros).",Bienes,Empresa Nicaragüense de Acueductos y Alcantarillados Sanitarios (ENACAL),98049.13,Contratado
"2317",Programa de Emergencia para la Reconstrucción Integral y Resiliente de Infraestructura (PROERI) de la República de Costa Rica,CRI-2025-2317-18646-O,Construcción del centro educativo San Isidro,Obras,Ministerio de Educación Pública (MEP),2336552.74,En Curso
"2280",Programa Fortalecimiento Acciones de Protección Contra la Violencia por Motivos de Género,ARG-2025-2280-12607-O,"Refuncionalización del Centro Territorial Integral, Pcia de Buenos Aires",Obras,Ministerio de Justicia de Argentina,500000.00,Previsto
